filename,alpha_median,rho_median,tree_scale_median,alpha_std,rho_std,tree_scale_std
10004_NT_AL_AA.fasta.zip,0.5281930565834045,0.47573740780353546,False,0,0,0
10006_NT_AL_AA.fasta.zip,0.4690658301115036,0.9498337507247925,False,0,0,0
10009_NT_AL_AA.fasta.zip,0.893156886100769,0.9740151166915894,False,0,0,0
1000_NT_AL_AA.fasta.zip,0.4909806251525879,0.8741388618946075,False,0,0,0
100101267_NT_AL_AA.fasta.zip,1.568905234336853,0.7893364230791727,True,0,0,0
100128908_NT_AL_AA.fasta.zip,1.8308528065681458,0.6758961081504822,False,0,0,0
100129271_NT_AL_AA.fasta.zip,1.5330962538719177,0.7251411378383636,False,0,0,0
100130274_NT_AL_AA.fasta.zip,1.808466911315918,0.7384823262691498,False,0,0,0
100131017_NT_AL_AA.fasta.zip,0.8094978829224905,0.978516697883606,True,0,0,0
100131390_NT_AL_AA.fasta.zip,0.7510595321655273,0.9658284187316895,False,0,0,0
100131755_NT_AL_AA.fasta.zip,1.4443595138463108,0.7892414466901259,True,0,0,0
100131897_NT_AL_AA.fasta.zip,0.7355707287788391,0.9687734544277191,False,0,0,0
100132074_NT_AL_AA.fasta.zip,1.2540725469589233,0.9756917655467987,False,0,0,0
100137049_NT_AL_AA.fasta.zip,0.7651701271533966,0.2725718766450882,False,0,0,0
10013_NT_AL_AA.fasta.zip,1.099607785542806,0.7584274808565775,True,0,0,0
10014_NT_AL_AA.fasta.zip,0.5152232845624288,0.9014493823051453,False,0,0,0
10015_NT_AL_AA.fasta.zip,0.8942593634128571,0.6336421966552734,True,0,0,0
10019_NT_AL_AA.fasta.zip,1.108896553516388,0.9398713707923889,False,0,0,0
1001_NT_AL_AA.fasta.zip,1.2893251776695251,0.6063025593757629,True,0,0,0
10020_NT_AL_AA.fasta.zip,0.5322575271129608,0.6145344525575638,True,0,0,0
10021_NT_AL_AA.fasta.zip,0.7758129040400187,0.962205151716868,True,0,0,0
10024_NT_AL_AA.fasta.zip,1.6317239205042522,0.8747491041819254,True,0,0,0
10025_NT_AL_AA.fasta.zip,0.2806871831417084,0.5730949342250824,False,0,0,0
100271715_NT_AL_AA.fasta.zip,0.8589242398738861,0.9694766104221344,True,0,0,0
100287898_NT_AL_AA.fasta.zip,1.1696440776189168,0.34458083907763165,False,0,0,0
100288072_NT_AL_AA.fasta.zip,1.5518465638160706,0.7061554789543152,True,0,0,0
100289635_NT_AL_AA.fasta.zip,1.352230578660965,0.5971991643309593,True,0,0,0
1002_NT_AL_AA.fasta.zip,0.42620590329170227,0.5643298923969269,True,0,0,0
10036_NT_AL_AA.fasta.zip,0.8632087707519531,0.91231968998909,False,0,0,0
100381270_NT_AL_AA.fasta.zip,0.8102565407752991,0.9644078612327576,False,0,0,0
10038_NT_AL_AA.fasta.zip,0.6813958585262299,0.7019549906253815,False,0,0,0
10039_NT_AL_AA.fasta.zip,1.4396052360534668,0.5978498160839081,False,0,0,0
1003_NT_AL_AA.fasta.zip,0.7853120565414429,0.22185271978378296,False,0,0,0
10042_NT_AL_AA.fasta.zip,0.8578761518001556,0.9576255083084106,False,0,0,0
10043_NT_AL_AA.fasta.zip,0.5476285219192505,0.8394991159439087,False,0,0,0
10044_NT_AL_AA.fasta.zip,0.8198343515396118,0.967627227306366,True,0,0,0
10045_NT_AL_AA.fasta.zip,1.462052047252655,0.47265830636024475,False,0,0,0
10046_NT_AL_AA.fasta.zip,1.8648054003715515,0.9519481062889099,False,0,0,0
