filename,alpha_median,rho_median,tree_scale_median,alpha_std,rho_std,tree_scale_std
10004_NT_AL_AA.fasta.zip,0.545582503080368,0.4981348514556885,False,0,0,0
10006_NT_AL_AA.fasta.zip,0.24205059558153152,0.9812885820865631,False,0,0,0
10009_NT_AL_AA.fasta.zip,0.9643778800964355,0.9745089113712311,False,0,0,0
1000_NT_AL_AA.fasta.zip,0.3260575979948044,0.9421142041683197,False,0,0,0
100101267_NT_AL_AA.fasta.zip,2.0561068058013916,0.7281840046246847,True,0,0,0
100128908_NT_AL_AA.fasta.zip,2.27356880903244,0.6056514382362366,True,0,0,0
100129271_NT_AL_AA.fasta.zip,1.6833108067512512,0.8792236149311066,False,0,0,0
100130274_NT_AL_AA.fasta.zip,2.1412678956985474,0.582214742898941,False,0,0,0
100131017_NT_AL_AA.fasta.zip,0.9629248281319936,0.9817333221435547,True,0,0,0
100131390_NT_AL_AA.fasta.zip,0.2749086618423462,0.9762593507766724,False,0,0,0
100131755_NT_AL_AA.fasta.zip,3.4842869639396667,0.6363585462624376,True,0,0,0
100131897_NT_AL_AA.fasta.zip,0.8285163342952728,0.9609103798866272,False,0,0,0
100132074_NT_AL_AA.fasta.zip,1.7288464307785034,0.9661047756671906,False,0,0,0
100137049_NT_AL_AA.fasta.zip,0.691811591386795,0.2691890001296997,False,0,0,0
10013_NT_AL_AA.fasta.zip,1.449169675509135,0.6977110107739767,True,0,0,0
10014_NT_AL_AA.fasta.zip,0.4590533872445424,0.9344515999158224,False,0,0,0
10015_NT_AL_AA.fasta.zip,1.0327324569225311,0.7372509241104126,True,0,0,0
10019_NT_AL_AA.fasta.zip,1.5397717356681824,0.9654953181743622,False,0,0,0
1001_NT_AL_AA.fasta.zip,1.3143054246902466,0.4914572052657604,True,0,0,0
10020_NT_AL_AA.fasta.zip,0.3153647258877754,0.9629672169685364,False,0,0,0
10021_NT_AL_AA.fasta.zip,0.7423643171787262,0.9713857968648275,True,0,0,0
10024_NT_AL_AA.fasta.zip,3.377753416697184,0.8037398258845011,True,0,0,0
10025_NT_AL_AA.fasta.zip,0.2916729897260666,0.4450013339519501,False,0,0,0
100271715_NT_AL_AA.fasta.zip,1.249681532382965,0.9616880416870117,True,0,0,0
100287898_NT_AL_AA.fasta.zip,1.1669009526570637,0.2835419873396556,False,0,0,0
100288072_NT_AL_AA.fasta.zip,3.0613399744033813,0.8437954485416412,True,0,0,0
100289635_NT_AL_AA.fasta.zip,1.6795547902584076,0.5468242391943932,True,0,0,0
1002_NT_AL_AA.fasta.zip,0.422391802072525,0.6016360968351364,True,0,0,0
10036_NT_AL_AA.fasta.zip,0.9017059504985809,0.897646576166153,False,0,0,0
100381270_NT_AL_AA.fasta.zip,0.8532379567623138,0.9661439955234528,False,0,0,0
10038_NT_AL_AA.fasta.zip,0.7217330932617188,0.7364217936992645,False,0,0,0
10039_NT_AL_AA.fasta.zip,1.3360658884048462,0.623177707195282,False,0,0,0
1003_NT_AL_AA.fasta.zip,0.7354954481124878,0.15094617009162903,False,0,0,0
10042_NT_AL_AA.fasta.zip,1.1319557428359985,0.9713791906833649,False,0,0,0
10043_NT_AL_AA.fasta.zip,0.5371105074882507,0.926650732755661,False,0,0,0
10044_NT_AL_AA.fasta.zip,0.9239198267459869,0.9755405783653259,True,0,0,0
10045_NT_AL_AA.fasta.zip,1.4257355332374573,0.42078588902950287,False,0,0,0
10046_NT_AL_AA.fasta.zip,3.211454153060913,0.9089271724224091,True,0,0,0
10048_NT_AL_AA.fasta.zip,0.24629506468772888,0.951957643032074,False,0,0,0
100499483_NT_AL_AA.fasta.zip,1.7224764823913574,0.3304482391104102,True,0,0,0
1004_NT_AL_AA.fasta.zip,1.0960650444030762,0.7550501227378845,False,0,0,0
100505753_NT_AL_AA.fasta.zip,3.314895232518514,0.41234275201956433,True,0,0,0
100506564_NT_AL_AA.fasta.zip,1.7501999735832214,0.19176898151636124,False,0,0,0
100506658_NT_AL_AA.fasta.zip,0.8743396997451782,0.8484769463539124,False,0,0,0
100507003_NT_AL_AA.fasta.zip,3.6316428184509277,0.6367853581905365,True,0,0,0
100507290_NT_AL_AA.fasta.zip,0.7350286096334457,0.9808874726295471,True,0,0,0
10050_NT_AL_AA.fasta.zip,2.3672012090682983,0.44587957859039307,False,0,0,0
10051_NT_AL_AA.fasta.zip,0.8132779598236084,0.7209763924280802,False,0,0,0
10054_NT_AL_AA.fasta.zip,0.31243710219860077,0.9592857360839844,False,0,0,0
10056_NT_AL_AA.fasta.zip,0.942423552274704,0.21136803179979324,False,0,0,0
10057_NT_AL_AA.fasta.zip,0.47308139006296795,0.6792679031689962,False,0,0,0
10058_NT_AL_AA.fasta.zip,0.629732757806778,0.4955643117427826,True,0,0,0
10059_NT_AL_AA.fasta.zip,0.10120127350091934,0.9689509272575378,False,0,0,0
1005_NT_AL_AA.fasta.zip,0.7079513669013977,0.8177536129951477,False,0,0,0
10060_NT_AL_AA.fasta.zip,0.2336735911667347,0.9598559141159058,False,0,0,0
100652824_NT_AL_AA.fasta.zip,3.6463631788889566,0.9212831854820251,True,0,0,0
10072_NT_AL_AA.fasta.zip,0.46258941292762756,0.6045272499322891,True,0,0,0
10075_NT_AL_AA.fasta.zip,0.2512174989614222,0.9733080532815721,False,0,0,0
